study_id,ref_id,author,year,country,population,screener,arm,age_mean,age_sd,age_lo,age_hi,n_m,n_f,dx_standard,risk_factor,n_screened,screen_pos,n_dx,n_pos,n_neg,n_data,tp,fp,fn,tn,fp_dev_delay,fp_lang_delay,fp_normal,fp_non_asd,tn_dev_delay,tn_lang_delay,tn_normal,tn_non_asd
1,48,Nygren,2012,Sweden,general population,JA-OBS,NA,30,6,24,46,2087,1912,"DSMIV, ADOS, Vineland, medical records, information from screening assessment",none,3999,64,54,48,6,48,37,3,6,2,NR,NR,NR,NR,NA,NA,NA,NA
1,48,Nygren,2012,Sweden,general population,M-CHAT + interview,NA,30,6,24,46,2087,1912,"DSMIV, ADOS, Vineland, medical records, information from screening assessment",none,3999,64,54,48,6,49,33,3,10,3,NR,NR,NR,NR,NA,NA,NA,NA
1,48,Nygren,2012,Sweden,general population,M-CHAT+Interview  and/or JAOBS,NA,30,6,24,46,2087,1912,"DSMIV, ADOS, Vineland, medical records, information from screening assessment",none,3999,64,54,48,6,51,43,5,2,1,0,2,3,0,NA,1,NA,NA
2,226,Pierce,2011,USA,general population,CSBS-ITC ,NA,12.54,NR,10.1,16,NR,NR,"ADOS-T, Mullen",none,10479,1318,225,32,193,225,32,152,0,41,9,56,46,41,NA,NA,NA,NA 
3,235,Miller,2011,USA,general population,ITC+interview  or M-CHAT + interview,NA,NR,NR,14,32,NR,NR,"ADOS-T, Mullen, and Vineland.",none,796,192,30,13,17,27,8,17,2,0,0,0,1,16,0,0,0,0
4,249,Feldman,2012,Canada,sibling,POEM,NA,8.1,5,1.03,22.23,74,34,"ADI-R; 
Clinicians",sibling,108,39,108,9,99,108,9,30,0,69,0,0,0,30,0,0,0,69
5,381,Koyama,2010,Japan,developmental delay,CHAT-Japanese,NA,30.1,3.4,24,35,85,15,"DSM-IV-based diagnosis using parental interviews, clinical evaluations, behavioral assessments from teachers ",developmental delay,100,57,100,52,48,100,44,13,8,35,0,0,0,13,0,0,0,35
6,504,Oosterling,2009,"Nether
lands",general population,ESAT-14 items,NA,NR,NR,0,36,,,"standardized parent interview, developmental  history, 
Vineland Social-Emotional Early Childhood Scales, behavior observation using ADOS or ADOS-G
ADI-R",none,,,,,,,,,,,,,,,,,,
7,606,Honda,2009,Japan,general population,YACHT-18,NA,18,NR,NR,NR,NR,NR,NR,none,2814,402,23,14,9,23,11,8,3,1,0,0,0,8,0,0,0,1
6,628_375,Oosterling,2009,"Nether
lands",developmental delay,CHAT key items,High risk,29.6,6.4,8,44,186,52,"Standardized parent-child play observation (Emotional Availability Scales), clinical psychiatric exam, standardized behavior observation using ADOS-G, structured and standardized parent interview with ADI-R",none,238,30,238,160,78,238,29,1,NA,NA,0,0,0,1,NA,NA,NA,NA
6,628_375,Oosterling,2009,"Nether
lands",developmental delay,CHAT key items,"High+
medium risk",29.6,6.4,8,44,186,52,"Standardized parent-child play observation (Emotional Availability Scales), clinical psychiatric exam, standardized behavior observation using ADOS-G, structured and standardized parent interview with ADI-R",none,238,88,238,160,78,238,77,11,NA,NA,0,0,0,11,NA,NA,NA,NA
6,628_375,Oosterling,2009,"Nether
lands",developmental delay,CSBS-DP,NA,29.6,6.4,8,44,186,52,"Standardized parent-child play observation (Emotional Availability Scales), clinical psychiatric exam, standardized behavior observation using ADOS-G, structured and standardized parent interview with ADI-R",none,238,146,238,160,78,238,114,32,NA,NA,0,0,0,32,NA,NA,NA,NA
6,628_375,Oosterling,2009,"Nether
lands",developmental delay,ESAT+developmental surveillance,NA,29.6,6.4,8,44,186,52,"Standardized parent-child play observation (Emotional Availability Scales), clinical psychiatric exam, standardized behavior observation using ADOS-G, structured and standardized parent interview with ADI-R",none,238,208,238,160,78,238,141,67,NA,NA,0,0,0,67,NA,NA,NA,NA
6,628_375,Oosterling,2009,"Nether
lands",developmental delay,SCQ,cutoff=11,29.6,6.4,8,44,186,52,"Standardized parent-child play observation (Emotional Availability Scales), clinical psychiatric exam, standardized behavior observation using ADOS-G, structured and standardized parent interview with ADI-R",none,238,189,238,160,78,238,134,55,NA,NA,0,0,0,55,NA,NA,NA,NA
6,628_375,Oosterling,2009,"Nether
lands",developmental delay,SCQ,cutoff=15,29.6,6.4,8,44,186,52,"Standardized parent-child play observation (Emotional Availability Scales), clinical psychiatric exam, standardized behavior observation using ADOS-G, structured and standardized parent interview with ADI-R",none,238,134,238,160,78,238,106,28,NA,NA,0,0,0,28,NA,NA,NA,NA
8,647,Matson,2009,USA,developmental delay,Biscuit- Part 1,NA,26.5,4.97,17,37,670,287,"DSM-IV-TR criteria,
M-CHAT, 
Battelle Developmental Inventory",developmental delay,957,304,957,315,642,957,291,13,24,629,13,0,0,0,629,0,0,0
